employee_id;team;has_license;active_days_30d;prompts_30d;monthly_active;recurring_user;training_completed
E001;Customer Service;1;12;46;1;1;1
E002;Customer Service;1;10;39;1;1;1
E003;Customer Service;1;9;35;1;1;1
E004;Customer Service;1;8;31;1;1;1
E005;Customer Service;1;8;29;1;1;1
E006;Customer Service;1;7;27;1;1;1
E007;Customer Service;1;7;24;1;1;1
E008;Customer Service;1;6;22;1;1;1
E009;Customer Service;1;6;20;1;1;1
E010;Customer Service;1;5;18;1;1;1
E011;Customer Service;1;5;17;1;1;1
E012;Customer Service;1;4;15;1;1;1
E013;Customer Service;1;4;13;1;1;1
E014;Customer Service;1;4;12;1;1;1
E015;Customer Service;1;3;9;1;0;1
E016;Customer Service;1;2;6;1;0;1
E017;Customer Service;1;1;2;1;0;1
E018;Customer Service;1;2;5;1;0;1
E019;Customer Service;1;3;8;1;0;1
E020;Customer Service;1;1;1;1;0;1
E021;Customer Service;1;2;4;1;0;1
E022;Customer Service;1;1;2;1;0;1
E023;Customer Service;1;3;7;1;0;1
E024;Customer Service;1;2;5;1;0;1
E025;Customer Service;1;1;2;1;0;1
E026;Customer Service;1;2;4;1;0;1
E027;Customer Service;1;3;6;1;0;1
E028;Customer Service;1;1;1;1;0;1
E029;Customer Service;1;2;5;1;0;1
E030;Customer Service;1;1;2;1;0;1
E031;Customer Service;1;3;8;1;0;1
E032;Customer Service;1;2;3;1;0;1
E033;Customer Service;1;1;2;1;0;1
E034;Customer Service;1;1;1;1;0;0
E035;Customer Service;1;0;0;0;0;1
E036;Customer Service;1;0;0;0;0;1
E037;Customer Service;1;0;0;0;0;1
E038;Customer Service;1;0;0;0;0;1
E039;Customer Service;1;0;0;0;0;1
E040;Customer Service;1;0;0;0;0;0
E041;Customer Service;1;0;0;0;0;1
E042;Customer Service;1;0;0;0;0;1
E043;Customer Service;1;0;0;0;0;1
E044;Customer Service;1;0;0;0;0;1
E045;Customer Service;1;0;0;0;0;1
E046;Customer Service;1;0;0;0;0;1
E047;Customer Service;1;0;0;0;0;1
E048;Customer Service;1;0;0;0;0;1
E049;Customer Service;1;0;0;0;0;1
E050;Customer Service;1;0;0;0;0;0
E051;Customer Service;1;0;0;0;0;1
E052;Customer Service;1;0;0;0;0;1
E053;Customer Service;1;0;0;0;0;1
E054;Customer Service;1;0;0;0;0;1
E055;Customer Service;1;0;0;0;0;1
E056;Customer Service;1;0;0;0;0;1
E057;Customer Service;1;0;0;0;0;1
E058;Customer Service;1;0;0;0;0;1
E059;Customer Service;1;0;0;0;0;1
E060;Customer Service;1;0;0;0;0;0
E061;Customer Service;1;0;0;0;0;1
E062;Customer Service;1;0;0;0;0;1
E063;Customer Service;1;0;0;0;0;1
E064;Customer Service;1;0;0;0;0;1
E065;Customer Service;1;0;0;0;0;1
E066;Customer Service;1;0;0;0;0;1
E067;Customer Service;1;0;0;0;0;1
E068;Customer Service;1;0;0;0;0;1
E069;Customer Service;1;0;0;0;0;1
E070;Customer Service;1;0;0;0;0;0
E071;Customer Service;1;0;0;0;0;1
E072;Customer Service;1;0;0;0;0;1
E073;Customer Service;1;0;0;0;0;1
E074;Customer Service;1;0;0;0;0;1
E075;Customer Service;1;0;0;0;0;1
E076;Customer Service;1;0;0;0;0;1
E077;Customer Service;1;0;0;0;0;1
E078;Customer Service;1;0;0;0;0;1
E079;Customer Service;1;0;0;0;0;1
E080;Customer Service;1;0;0;0;0;0
E081;Customer Service;1;0;0;0;0;1
E082;Customer Service;1;0;0;0;0;1
E083;Customer Service;1;0;0;0;0;1
E084;Customer Service;1;0;0;0;0;1
E085;Customer Service;1;0;0;0;0;1
E086;Customer Service;1;0;0;0;0;1
E087;Customer Service;1;0;0;0;0;1
E088;Customer Service;1;0;0;0;0;1
E089;Customer Service;1;0;0;0;0;1
E090;Customer Service;1;0;0;0;0;0
E091;Customer Service;1;0;0;0;0;1
E092;Customer Service;1;0;0;0;0;1
E093;Customer Service;1;0;0;0;0;1
E094;Customer Service;1;0;0;0;0;1
E095;Customer Service;1;0;0;0;0;1
E096;Customer Service;1;0;0;0;0;1
E097;Customer Service;1;0;0;0;0;1
E098;Customer Service;1;0;0;0;0;1
E099;Customer Service;1;0;0;0;0;1
E100;Customer Service;1;0;0;0;0;0
E101;Customer Service;1;0;0;0;0;1
E102;Customer Service;1;0;0;0;0;1
E103;Customer Service;1;0;0;0;0;1
E104;Customer Service;1;0;0;0;0;1
E105;Customer Service;1;0;0;0;0;0
E106;Customer Service;1;0;0;0;0;1
E107;Customer Service;1;0;0;0;0;1
E108;Customer Service;1;0;0;0;0;1
E109;Customer Service;1;0;0;0;0;1
E110;Customer Service;1;0;0;0;0;0
E111;Customer Service;1;0;0;0;0;1
E112;Customer Service;1;0;0;0;0;1
E113;Customer Service;1;0;0;0;0;1
E114;Customer Service;1;0;0;0;0;0
E115;Customer Service;1;0;0;0;0;1
E116;Customer Service;1;0;0;0;0;0
E117;Customer Service;1;0;0;0;0;1
E118;Customer Service;1;0;0;0;0;0
E119;Customer Service;1;0;0;0;0;1
E120;Customer Service;1;0;0;0;0;0
